IP:PORT, LOSS, DELAY
188.114.98.131:939,0.00%,284 ms
188.114.98.125:939,0.00%,284 ms
188.114.98.108:7281,0.00%,294 ms
188.114.97.222:7281,0.00%,295 ms
188.114.99.92:939,0.00%,296 ms
188.114.99.48:7281,0.00%,300 ms
188.114.96.41:939,0.00%,302 ms
188.114.99.99:7281,0.00%,304 ms
188.114.96.186:939,0.00%,310 ms
188.114.99.123:7281,0.00%,312 ms
188.114.99.158:7281,0.00%,315 ms
188.114.98.49:939,0.00%,317 ms
188.114.96.41:7281,0.00%,319 ms
188.114.97.24:939,0.00%,324 ms
188.114.96.59:7281,0.00%,327 ms
188.114.99.158:939,0.00%,328 ms
188.114.99.95:7281,0.00%,329 ms
162.159.195.126:939,0.00%,333 ms
162.159.195.6:939,0.00%,334 ms
188.114.96.56:939,0.00%,335 ms
162.159.195.143:939,0.00%,337 ms
188.114.98.5:939,0.00%,338 ms
162.159.195.143:7281,0.00%,339 ms
188.114.97.24:7281,0.00%,339 ms
188.114.96.182:7281,0.00%,341 ms
188.114.98.17:7281,0.00%,343 ms
162.159.195.6:7281,0.00%,344 ms
188.114.97.125:939,0.00%,347 ms
188.114.96.8:939,0.00%,347 ms
188.114.98.11:7281,0.00%,348 ms
188.114.97.146:7281,0.00%,349 ms
162.159.195.58:7281,0.00%,349 ms
162.159.195.198:939,0.00%,359 ms
188.114.99.1:939,0.00%,362 ms
188.114.98.5:7281,0.00%,363 ms
162.159.195.149:7281,0.00%,364 ms
188.114.97.125:7281,0.00%,368 ms
188.114.96.67:7281,0.00%,372 ms
188.114.99.24:7281,0.00%,378 ms
188.114.96.67:939,0.00%,385 ms
188.114.98.139:7281,0.00%,400 ms
188.114.99.56:7281,10.00%,369 ms
188.114.99.239:7281,10.00%,372 ms
188.114.98.108:939,10.00%,373 ms
188.114.99.136:939,10.00%,374 ms
188.114.98.176:7281,10.00%,374 ms
188.114.99.92:7281,10.00%,375 ms
162.159.195.98:939,10.00%,377 ms
188.114.99.99:939,10.00%,378 ms
188.114.98.88:939,10.00%,380 ms
188.114.96.10:939,10.00%,381 ms
162.159.195.177:7281,10.00%,383 ms
188.114.98.176:939,10.00%,383 ms
188.114.97.235:7281,10.00%,384 ms
188.114.99.168:939,10.00%,384 ms
188.114.97.235:939,10.00%,384 ms
188.114.98.219:7281,10.00%,386 ms
188.114.98.131:7281,10.00%,387 ms
188.114.98.91:939,10.00%,388 ms
188.114.96.115:7281,10.00%,388 ms
188.114.99.135:939,10.00%,388 ms
188.114.97.223:939,10.00%,389 ms
188.114.97.168:7281,10.00%,389 ms
188.114.99.56:939,10.00%,389 ms
188.114.97.175:7281,10.00%,390 ms
188.114.98.49:7281,10.00%,391 ms
188.114.98.22:939,10.00%,391 ms
188.114.98.88:7281,10.00%,392 ms
188.114.99.156:939,10.00%,392 ms
188.114.96.186:7281,10.00%,392 ms
162.159.195.84:7281,10.00%,393 ms
188.114.99.156:7281,10.00%,393 ms
188.114.96.174:7281,10.00%,393 ms
188.114.96.59:939,10.00%,395 ms
188.114.98.219:939,10.00%,395 ms
162.159.195.58:939,10.00%,395 ms
188.114.98.17:939,10.00%,396 ms
188.114.98.22:7281,10.00%,397 ms
188.114.96.56:7281,10.00%,398 ms
188.114.98.124:939,10.00%,404 ms
162.159.195.154:939,10.00%,407 ms
162.159.192.159:7281,10.00%,410 ms
188.114.96.174:939,10.00%,411 ms
188.114.97.146:939,10.00%,413 ms
188.114.98.11:939,10.00%,414 ms
188.114.99.95:939,10.00%,415 ms
188.114.96.182:939,10.00%,415 ms
188.114.97.78:7281,10.00%,418 ms
188.114.96.10:7281,10.00%,419 ms
188.114.99.24:939,10.00%,422 ms
162.159.195.92:939,10.00%,422 ms
162.159.192.81:939,10.00%,422 ms
188.114.97.179:7281,10.00%,423 ms
162.159.195.154:7281,10.00%,423 ms
162.159.195.240:7281,10.00%,426 ms
188.114.97.78:939,10.00%,427 ms
188.114.99.109:939,10.00%,428 ms
188.114.96.93:7281,10.00%,430 ms
162.159.195.19:939,10.00%,433 ms
188.114.97.179:939,10.00%,434 ms
188.114.96.93:939,10.00%,450 ms
188.114.99.239:939,20.00%,430 ms
188.114.98.125:7281,20.00%,434 ms
188.114.97.49:939,20.00%,438 ms
188.114.99.48:939,20.00%,438 ms
188.114.99.123:939,20.00%,440 ms
162.159.195.23:7281,20.00%,446 ms
162.159.195.177:939,20.00%,447 ms
188.114.96.115:939,20.00%,451 ms
188.114.97.175:939,20.00%,453 ms
188.114.98.91:7281,20.00%,456 ms
162.159.195.84:939,20.00%,456 ms
162.159.195.126:7281,20.00%,459 ms
188.114.97.49:7281,20.00%,462 ms
162.159.195.98:7281,20.00%,467 ms
188.114.98.124:7281,20.00%,467 ms
188.114.99.168:7281,20.00%,468 ms
188.114.97.168:939,20.00%,468 ms
162.159.192.97:939,20.00%,475 ms
188.114.96.106:939,20.00%,478 ms
188.114.99.136:7281,20.00%,478 ms
162.159.195.240:939,20.00%,480 ms
188.114.96.106:7281,20.00%,484 ms
188.114.99.109:7281,20.00%,488 ms
162.159.192.5:7281,20.00%,493 ms
188.114.99.1:7281,20.00%,494 ms
188.114.96.8:7281,20.00%,498 ms
162.159.195.92:7281,20.00%,501 ms
188.114.98.139:939,20.00%,516 ms
188.114.97.223:7281,30.00%,501 ms
162.159.195.23:939,30.00%,518 ms
188.114.99.135:7281,30.00%,522 ms
188.114.97.222:939,30.00%,524 ms
162.159.192.187:7281,30.00%,529 ms
188.114.97.117:7281,30.00%,540 ms
188.114.97.117:939,30.00%,544 ms
162.159.195.19:7281,30.00%,558 ms
162.159.195.198:7281,30.00%,559 ms
162.159.195.149:939,30.00%,560 ms
162.159.192.179:7281,100.00%,1000 ms
162.159.192.245:939,100.00%,1000 ms
162.159.193.219:939,100.00%,1000 ms
162.159.192.187:939,100.00%,1000 ms
162.159.193.215:7281,100.00%,1000 ms
162.159.192.142:7281,100.00%,1000 ms
162.159.192.51:7281,100.00%,1000 ms
162.159.192.155:7281,100.00%,1000 ms
162.159.192.228:939,100.00%,1000 ms
162.159.193.215:939,100.00%,1000 ms
162.159.192.179:939,100.00%,1000 ms
162.159.192.159:939,100.00%,1000 ms
162.159.193.214:939,100.00%,1000 ms
162.159.192.142:939,100.00%,1000 ms
162.159.192.111:7281,100.00%,1000 ms
162.159.192.111:939,100.00%,1000 ms
162.159.193.254:7281,100.00%,1000 ms
162.159.193.45:7281,100.00%,1000 ms
162.159.193.3:939,100.00%,1000 ms
162.159.193.59:939,100.00%,1000 ms
162.159.193.178:7281,100.00%,1000 ms
162.159.193.3:7281,100.00%,1000 ms
162.159.193.255:7281,100.00%,1000 ms
162.159.193.94:939,100.00%,1000 ms
162.159.193.156:939,100.00%,1000 ms
162.159.193.255:939,100.00%,1000 ms
162.159.193.219:7281,100.00%,1000 ms
162.159.192.5:939,100.00%,1000 ms
162.159.193.94:7281,100.00%,1000 ms
188.114.96.44:7281,100.00%,1000 ms
162.159.193.38:7281,100.00%,1000 ms
162.159.192.58:939,100.00%,1000 ms
162.159.193.38:939,100.00%,1000 ms
162.159.192.252:7281,100.00%,1000 ms
162.159.192.38:939,100.00%,1000 ms
162.159.193.152:7281,100.00%,1000 ms
162.159.192.228:7281,100.00%,1000 ms
162.159.193.254:939,100.00%,1000 ms
162.159.193.59:7281,100.00%,1000 ms
162.159.192.155:939,100.00%,1000 ms
162.159.192.252:939,100.00%,1000 ms
162.159.193.110:939,100.00%,1000 ms
162.159.193.156:7281,100.00%,1000 ms
162.159.193.152:939,100.00%,1000 ms
162.159.192.38:7281,100.00%,1000 ms
162.159.193.110:7281,100.00%,1000 ms
188.114.96.49:939,100.00%,1000 ms
188.114.96.44:939,100.00%,1000 ms
162.159.192.81:7281,100.00%,1000 ms
162.159.192.97:7281,100.00%,1000 ms
188.114.96.49:7281,100.00%,1000 ms
162.159.193.178:939,100.00%,1000 ms
162.159.193.214:7281,100.00%,1000 ms
188.114.97.0:7281,100.00%,1000 ms
188.114.97.0:939,100.00%,1000 ms
162.159.192.51:939,100.00%,1000 ms
188.114.97.57:7281,100.00%,1000 ms
188.114.97.57:939,100.00%,1000 ms
162.159.192.245:7281,100.00%,1000 ms
162.159.192.58:7281,100.00%,1000 ms
162.159.193.45:939,100.00%,1000 ms
